,Time,Tp,Cl,pH,Redox,Leit,Trueb,Cl_2,Fm,Fm_2,EVENT
1,2016-02-15 12:54:00,4.4,0.14,8.38,755,232,0.009,0.11,1428,1020,FALSE
2,2016-02-15 12:55:00,4.4,0.14,8.38,755,232,0.009,0.111,1436,1018,FALSE
3,2016-02-15 12:56:00,4.4,0.14,8.38,755,232,0.014,0.113,1471,1019,FALSE
4,2016-02-15 12:57:00,4.4,0.14,8.37,755,232,0.015,0.111,1457,1015,FALSE
5,2016-02-15 12:58:00,4.4,0.14,8.38,755,232,0.013,0.111,1476,1019,FALSE
6,2016-02-15 12:59:00,4.4,0.14,8.36,755,232,0.013,0.114,1416,1015,FALSE
7,2016-02-15 13:00:00,4.4,0.14,8.36,755,235,0.012,0.111,1452,1017,FALSE
8,2016-02-15 13:01:00,4.4,0.14,8.36,755,232,0.011,0.111,1445,1013,FALSE
9,2016-02-15 13:02:00,4.4,0.14,8.36,755,232,0.012,0.113,1465,1008,FALSE
10,2016-02-15 13:03:00,4.4,0.14,8.36,755,235,0.014,0.113,1482,1017,FALSE
11,2016-02-15 13:04:00,4.4,0.14,8.36,755,232,0.018,0.114,1489,1020,FALSE
12,2016-02-15 13:05:00,4.4,0.14,8.36,755,232,0.013,0.114,1471,1018,FALSE
13,2016-02-15 13:06:00,4.4,0.14,8.36,755,232,0.017,0.113,1497,1006,FALSE
14,2016-02-15 13:07:00,4.4,0.14,8.36,755,232,0.013,0.111,1452,1008,FALSE
15,2016-02-15 13:08:00,4.4,0.14,8.36,755,232,0.011,0.111,1472,1015,FALSE
16,2016-02-15 13:09:00,4.4,0.14,8.36,755,235,0.018,0.111,1562,1012,FALSE
17,2016-02-15 13:10:00,4.4,0.14,8.36,755,232,0.016,0.111,1517,1012,FALSE
18,2016-02-15 13:11:00,4.4,0.14,8.36,755,235,0.015,0.111,1446,1015,FALSE
19,2016-02-15 13:12:00,4.4,0.14,8.36,755,232,0.013,0.111,1460,1009,FALSE
20,2016-02-15 13:13:00,4.4,0.14,8.36,755,232,0.012,0.111,1472,1020,FALSE
21,2016-02-15 13:14:00,4.4,0.14,8.36,755,235,0.017,0.113,1410,1026,FALSE
22,2016-02-15 13:15:00,4.4,0.14,8.36,755,235,0.012,0.111,1453,1015,FALSE
23,2016-02-15 13:16:00,4.4,0.14,8.35,755,235,0.014,0.113,1425,1015,FALSE
24,2016-02-15 13:17:00,4.4,0.14,8.34,755,235,0.011,0.113,1442,1018,FALSE
25,2016-02-15 13:18:00,4.4,0.13,8.34,755,235,0.013,0.11,1454,1013,FALSE
26,2016-02-15 13:19:00,4.4,0.14,8.34,755,235,0.012,0.111,1445,1018,FALSE
27,2016-02-15 13:20:00,4.4,0.14,8.34,755,235,0.011,0.111,1482,1018,FALSE
28,2016-02-15 13:21:00,4.4,0.14,8.34,755,235,0.018,0.113,1418,1017,FALSE
29,2016-02-15 13:22:00,4.4,0.14,8.34,755,232,0.015,0.112,1469,1013,FALSE
30,2016-02-15 13:23:00,4.4,0.14,8.34,755,232,0.017,0.114,1453,1012,FALSE
31,2016-02-15 13:24:00,4.4,0.14,8.34,755,232,0.016,0.114,1462,1011,FALSE
32,2016-02-15 13:25:00,4.4,0.14,8.33,755,235,0.018,0.113,1462,1019,FALSE
33,2016-02-15 13:26:00,4.4,0.14,8.33,755,235,0.018,0.114,1465,1013,FALSE
34,2016-02-15 13:27:00,4.4,0.14,8.34,755,235,0.015,0.113,1434,1013,FALSE
35,2016-02-15 13:28:00,4.4,0.14,8.33,755,235,0.016,0.114,1462,1013,FALSE
36,2016-02-15 13:29:00,4.4,0.14,8.33,755,235,0.016,0.114,1518,1015,FALSE
37,2016-02-15 13:30:00,4.4,0.14,8.33,755,235,0.016,0.117,1480,1011,FALSE
38,2016-02-15 13:31:00,4.4,0.14,8.33,755,235,0.015,0.114,1498,1006,FALSE
39,2016-02-15 13:32:00,4.4,0.14,8.34,755,235,0.013,0.116,1497,1023,FALSE
40,2016-02-15 13:33:00,4.4,0.14,8.34,755,235,0.016,0.116,1483,1015,FALSE
41,2016-02-15 13:34:00,4.4,0.14,8.34,755,235,0.015,0.117,1481,1008,FALSE
42,2016-02-15 13:35:00,4.4,0.14,8.34,755,235,0.012,0.117,1506,1012,FALSE
43,2016-02-15 13:36:00,4.4,0.14,8.34,755,235,0.009,0.118,1509,1013,FALSE
44,2016-02-15 13:37:00,4.4,0.14,8.36,755,235,0.015,0.117,1518,1018,FALSE
45,2016-02-15 13:38:00,4.4,0.14,8.34,755,235,0.015,0.118,1505,1008,FALSE
46,2016-02-15 13:39:00,4.4,0.14,8.34,755,235,0.015,0.117,1378,1017,FALSE
47,2016-02-15 13:40:00,4.4,0.14,8.35,755,235,0.019,0.118,1451,1015,FALSE
48,2016-02-15 13:41:00,4.4,0.14,8.35,756,235,0.016,0.118,1447,1018,FALSE
49,2016-02-15 13:42:00,4.4,0.14,8.35,756,235,0.017,0.118,1445,1019,FALSE
50,2016-02-15 13:43:00,4.4,0.14,8.35,755,235,0.017,0.117,1466,1020,FALSE
51,2016-02-15 13:44:00,4.4,0.14,8.36,755,235,0.018,0.118,1431,1008,FALSE
52,2016-02-15 13:45:00,4.4,0.14,8.35,755,235,0.02,0.117,1437,1009,FALSE
53,2016-02-15 13:46:00,4.4,0.14,8.36,755,235,0.016,0.118,1422,1008,FALSE
54,2016-02-15 13:47:00,4.4,0.14,8.36,755,235,0.016,0.118,1408,1009,FALSE
55,2016-02-15 13:48:00,4.4,0.14,8.36,755,235,0.015,0.117,1462,1011,FALSE
56,2016-02-15 13:49:00,4.4,0.14,8.36,755,235,0.012,0.117,1428,1008,FALSE
57,2016-02-15 13:50:00,4.4,0.14,8.36,755,235,0.015,0.116,1457,1009,FALSE
58,2016-02-15 13:51:00,4.4,0.14,8.36,755,235,0.015,0.117,1471,1017,FALSE
59,2016-02-15 13:52:00,4.4,0.14,8.37,755,235,0.013,0.117,1472,1008,FALSE
60,2016-02-15 13:53:00,4.4,0.14,8.37,755,235,0.014,0.114,1437,1020,FALSE
61,2016-02-15 13:54:00,4.4,0.14,8.38,755,235,0.01,0.114,1468,1015,FALSE
62,2016-02-15 13:55:00,4.4,0.14,8.38,755,235,0.012,0.114,1445,1013,FALSE
63,2016-02-15 13:56:00,4.4,0.14,8.38,755,235,0.016,0.114,1420,1012,FALSE
64,2016-02-15 13:57:00,4.4,0.14,8.38,755,235,0.013,0.113,1395,1017,FALSE
65,2016-02-15 13:58:00,4.4,0.14,8.39,755,235,0.016,0.114,1401,1013,FALSE
66,2016-02-15 13:59:00,4.4,0.14,8.4,755,235,0.012,0.113,1439,1012,FALSE
67,2016-02-15 14:00:00,4.4,0.14,8.4,755,235,0.016,0.111,1446,1005,FALSE
68,2016-02-15 14:01:00,4.4,0.14,8.4,755,235,0.013,0.113,1429,1012,FALSE
69,2016-02-15 14:02:00,4.4,0.14,8.4,755,235,0.014,0.113,1471,1009,FALSE
70,2016-02-15 14:03:00,4.4,0.14,8.4,755,235,0.02,0.113,1451,1006,FALSE
